ISO	Country	Subject Descriptor	Units	Scale	2010	Estimates Start After
TWN	Taiwan Province of China	Value of oil exports	U.S. dollars	Billions	14.239	2010
TJK	Tajikistan	Value of oil exports	U.S. dollars	Billions		
TZA	Tanzania	Value of oil exports	U.S. dollars	Billions	0.000	2010
THA	Thailand	Value of oil exports	U.S. dollars	Billions	0.000	2010
TLS	Democratic Republic of Timor-Leste	Value of oil exports	U.S. dollars	Billions		
TGO	Togo	Value of oil exports	U.S. dollars	Billions		
TON	Tonga	Value of oil exports	U.S. dollars	Billions	--	
TTO	Trinidad and Tobago	Value of oil exports	U.S. dollars	Billions	4.715	2009
TUN	Tunisia	Value of oil exports	U.S. dollars	Billions	2.315	2010
TUR	Turkey	Value of oil exports	U.S. dollars	Billions	4.506	2010
TKM	Turkmenistan	Value of oil exports	U.S. dollars	Billions	3.884	2009
TUV	Tuvalu	Value of oil exports	U.S. dollars	Billions		
UGA	Uganda	Value of oil exports	U.S. dollars	Billions	0.000	2010
UKR	Ukraine	Value of oil exports	U.S. dollars	Billions	0.000	2009
ARE	United Arab Emirates	Value of oil exports	U.S. dollars	Billions	77.512	
GBR	United Kingdom	Value of oil exports	U.S. dollars	Billions	48.778	2010
USA	United States	Value of oil exports	U.S. dollars	Billions	70.764	2010
URY	Uruguay	Value of oil exports	U.S. dollars	Billions	0.000	
UZB	Uzbekistan	Value of oil exports	U.S. dollars	Billions	0.000	
VUT	Vanuatu	Value of oil exports	U.S. dollars	Billions	--	2010
VEN	Venezuela	Value of oil exports	U.S. dollars	Billions	62.317	2010
VNM	Vietnam	Value of oil exports	U.S. dollars	Billions	4.958	2010
YEM	Republic of Yemen	Value of oil exports	U.S. dollars	Billions	5.594	
ZMB	Zambia	Value of oil exports	U.S. dollars	Billions	0.000	2010
ZWE	Zimbabwe	Value of oil exports	U.S. dollars	Billions	0.000	2010

International Monetary Fund, World Economic Outlook Database, April 2011
